college,courses
Atma Ram Sanatan Dharma College,B. Sc. (H) Computer Science
Atma Ram Sanatan Dharma College,B. Sc. (Prog.) Physical Science Chemistry
Atma Ram Sanatan Dharma College,B. Sc. (Prog.) Physical Science Electronics
Atma Ram Sanatan Dharma College,B. Sc. (Prog.) Physical Science Computer Science
Atma Ram Sanatan Dharma College,B. Sc. (Prog.) Applied Physical Science Industrial Chemistry
Bhagini Nivedita College,B.A. (Prog.)
Bhagini Nivedita College,B. Com.
Bhagini Nivedita College,B.A. (H) Hindi
Bhagini Nivedita College,B.A. (H) History
Bhagini Nivedita College,B.A. (H) Pol. Science
Bhagini Nivedita College,B.Sc.Physical Science with Chemistry
Bhagini Nivedita College,B.Sc.Physical Science with Computer
Bhagini Nivedita College,B.Sc. (H) Home Science
Bhagini Nivedita College,B.Sc.  (H) Physics
Bharati College, B.A. (H) English
Bharati College, B.A. (H) Hindi
Bharati College, B.A. (H) Sanskrit
Bharati College, B.A. (H) History
Bharati College, B.A. (H) Pol. Science
Bharati College, B.A. (H) Journalism
Bharati College, B. Sc. (H) Psychology
Bharati College, B. A (H) Sociology
Bharati College, B. Sc. (H) Maths
Bharati College, B. Com. (H)
Bharati College, B. Com. (Prog.)
Bhaskaracharya College of Applied Sciences,B.Sc.(H) Biomedical Science
Bhaskaracharya College of Applied Sciences,B.Sc. (H) Botany
Bhaskaracharya College of Applied Sciences,B.Sc. (H) Chemistry
Bhaskaracharya College of Applied Sciences,B.Sc. (H) Computer Science
Bhaskaracharya College of Applied Sciences,B.Sc. (H) Electronics
Bhaskaracharya College of Applied Sciences,B.Sc. (H) Food Technology
Bhaskaracharya College of Applied Sciences,B.Sc. (H) Instrumentation
Bhaskaracharya College of Applied Sciences,B.Sc. (H) Microbiology
Bhaskaracharya College of Applied Sciences,B.Sc. (H) Physics
Bhaskaracharya College of Applied Sciences,B.Sc. (H) Polymer Science
Bhaskaracharya College of Applied Sciences,B.Sc. (H) Zoology
College of Vocational Studies,B.A. (VS) Office Management and Secretarial Practice
College of Vocational Studies,B.A. (VS) Marketing Management and Retail Business
College of Vocational Studies,B.A. (VS) Human Resource Management
College of Vocational Studies,B.A. (VS) Small and Medium Enterprises
College of Vocational Studies,B.A. (VS) Management and Marketing of Insurance
College of Vocational Studies,B.A. (VS) Material Management
College of Vocational Studies,B.A. (VS) Tourism Management
College of Vocational Studies,B.COM (H)
College of Vocational Studies,B.A. (H) Economics
College of Vocational Studies,B.A. (H) History
College of Vocational Studies,B.SC. (H) Computer  Science
College of Vocational Studies,B.A. (H) English
College of Vocational Studies,B.A. (H) Hindi
College of Vocational Studies,B.A. (H) Business Economics
College of Vocational Studies,Bchelor of Management Studies
Cluster Innovation Centre,B.Tech. (Information Technology & Mathematical Innovations)
Cluster Innovation Centre,B.A. Honours (Humanities & Social Sciences)
Daulat Ram College,B.A. (H) Economics
Daulat Ram College,B.A. (H) English
Daulat Ram College,B.A. (H) Hindi
Daulat Ram College,B.A. (H) History
Daulat Ram College,B.A. (H) Music
Daulat Ram College,B.A. (H) Philosophy
Daulat Ram College,B.A. (H) Pol. Science
Daulat Ram College,B.A. (H) Psychology
Daulat Ram College,B.A. (H) Sanskrit
Daulat Ram College,B.A. (Prog.)
Daulat Ram College,B.Com. (P)
Daulat Ram College,B.Com. (H)
Daulat Ram College,B.Sc. (H) Biochemistry
Daulat Ram College,B.Sc. (H) Botany
Daulat Ram College,B.Sc. (H) Chemistry
Daulat Ram College,B.Sc. (H) Mathematics
Daulat Ram College,B.Sc. (H) Physics
Daulat Ram College,B.Sc. (H) Zoology
Daulat Ram College,B.Sc. Life Sciences
Deen Dayal Upadhyaya College,B.A. (H) ENGLISH
Deen Dayal Upadhyaya College,B.COM. (H)
Deen Dayal Upadhyaya College,B.SC. (H) 
Deen Dayal Upadhyaya College,B.SC. (H)
Deen Dayal Upadhyaya College,B.SC. (H)
Deen Dayal Upadhyaya College,B.SC. (H)
Deen Dayal Upadhyaya College,B.SC. (H)
Deen Dayal Upadhyaya College,B.SC. (H)
Deen Dayal Upadhyaya College,B.SC. (H)
Deen Dayal Upadhyaya College,B.SC. LIFE SCIENCE
Deen Dayal Upadhyaya College,B.SC. PHYSICAL SCIENCE WITH CHEMISTRY
Deen Dayal Upadhyaya College,B.SC. PHYSICAL SCIENCE WITH COMPUTER SCIENCE
Deen Dayal Upadhyaya College,B.SC. MATHEMATICAL SCIENCE
Deen Dayal Upadhyaya College,B.A. (Prog.)
